recipe_slug	rating
falafel	0.25
spamburger	0.25
bacon-fried-rice	1.0
chicken-fingers	0.25
apple-crisp	0.25
cranberry-apple-crisp	0.25
bacon-chocolate-chip-cookies	0.0
sujebi	0.25
pasta-primavera	0.25
ramen	0.25
brownies	0.25
bacon-wrapped-scallops	0.0
bacon-egg-muffins	0.0
breakfast-burritos	0.0
bolognese-sauce	0.25
croissants	0.25
bacon-souffle	0.0
souffle	0.25
chocolate-souffle	0.25
butter-croissants	0.25
pickled-green-beans	0.25
fried-oysters	0.25
peanut-butter-brownies	0.25
almond-chip-cookies	0.25
guacamole	0.25
brioche-bread	0.25
brioche-bread-with-chocolate	0.25
asparagus-quiche	0.25
asparagus-burger	0.25
ma-la-chicken	0.25
cold-noodles-with-tomatoes	0.25
tamales	0.25
enchiladas	0.25
tacos	1.0
burritos	0.25
peanut-butter-cupcakes	0.25
pickled-asparagus	0.25
chocolate-peanut-butter-cake	0.25
udon	0.25
vegetable-lasagna	0.25
maple-bacon-donuts	0.0
maple-bacon-pancakes	0.0
spinach-and-ricotta-stuffed-shells	1.0
quesadillas	0.25
pico-de-gallo	0.25
nachos	0.25
cold-soba-noodles-with-tomato-and-cucumber	0.25
fajitas	0.25
loaded-nachos	0.25
lasagna	0.25
chicken-nuggets	0.25
pain-au-chocolat	0.25
nacho-dip	0.25
nacho-salad	1.0
nacho-casserole	0.25
nacho-fries	0.25
tempura-udon	0.25
peach-crisp	0.25
apple-pie	0.25
blueberry-crisp	0.25
berry-crumble	0.25
strawberry-rhubarb-crisp	0.25
peach-cobbler	0.25
cranberry-sauce	0.25
cherry-cobbler	0.25
apple-crumble	0.25
chocolate-croissants	0.25
french-toast	0.25
chocolate-babka	0.25
cinnamon-babka	0.25
blueberry-crumble	0.25
spam-musubi	0.25
taco-salad	1.0
chiles-rellenos	0.25
almond-croissants	0.25
cranberry-relish	0.25
ma-la-beef	0.25
chocolate-cake	0.25
spinach-quiche	1.0
mushroom-quiche	0.25
quiche-lorraine	0.0
croissant-aux-amandes	0.25
danishes	0.25
spinach-and-feta-quiche	1.0
cold-sesame-noodles	0.25
soba-noodle-salad-with-peanut-dressing	1.0
dan-dan-noodles	0.25
vanilla-souffle	0.25
bacon-wrapped-dates	0.0
cherry-pie	0.25
berry-crisp	0.25
bacon-and-egg-breakfast-sandwich	0.0
bacon-wrapped-shrimp-skewers	0.0
bacon-wrapped-chicken	0.0
bacon-wrapped-asparagus	0.0
bacon-mac-and-cheese	0.0
chicken-alfredo-lasagna	0.25
classic-beef-lasagna	0.25
vegetarian-mushroom-lasagna	1.0
spinach-and-ricotta-lasagna	1.0
