date	AAPL	MSFT	AMZN	GOOGL	SPY	TSLA
2022-08-31	154.78	255.12	126.77	107.57	378.75	275.61
2022-09-30	136.05	227.25	113.00	95.08	343.74	265.25
2022-10-31	150.96	226.50	102.44	93.95	371.67	227.54
2022-11-30	145.97	249.65	96.54	100.39	392.33	194.70
2022-12-31	128.12	234.66	84.00	87.70	369.73	123.18
2023-01-31	142.28	242.48	103.13	98.25	392.98	173.22
2023-02-28	145.58	244.66	94.23	89.52	383.10	205.71
2023-03-31	162.86	282.80	103.29	103.11	397.30	207.46
2023-04-30	167.58	301.40	105.45	106.70	403.65	164.31
2023-05-31	175.29	322.83	120.58	122.14	405.51	203.93
2023-06-30	191.83	334.78	130.36	118.99	431.79	261.77
2023-07-31	194.28	330.23	133.68	131.93	445.92	267.43
2023-08-31	186.05	322.89	138.01	135.36	438.67	258.08
2023-09-30	169.55	311.06	127.12	130.08	417.87	250.22
2023-10-31	169.11	333.09	133.09	123.34	408.79	200.84
2023-11-30	188.36	374.04	146.09	131.74	446.14	240.08
2023-12-31	190.91	371.21	151.94	138.86	466.50	248.48
2024-01-31	182.85	392.47	155.20	139.26	473.93	187.29
2024-02-29	179.46	409.08	176.76	137.63	498.67	201.88
2024-03-31	170.26	416.08	180.38	150.03	514.97	175.79
2024-04-30	169.12	385.04	175.00	161.81	494.21	183.28
2024-05-31	191.14	411.30	176.44	171.47	519.21	178.08
2024-06-30	209.40	442.82	193.25	181.27	537.53	197.88
2024-07-31	220.80	414.49	186.98	170.71	544.03	232.07
2024-08-31	227.94	414.03	178.50	162.59	556.75	214.11
2024-09-30	231.92	427.09	186.33	165.27	568.44	261.63
2024-10-31	224.86	403.32	186.40	170.51	563.37	249.85
2024-11-30	236.49	421.15	207.89	168.36	596.96	345.16
2024-12-31	249.53	419.20	219.39	188.85	582.60	403.84
2025-01-31	235.17	412.79	237.68	203.54	598.25	404.60
2025-02-28	241.25	395.61	212.28	169.88	590.65	292.98
2025-03-31	221.59	374.09	190.26	154.45	557.74	259.16
2025-04-30	211.98	393.89	184.42	158.61	552.91	282.16
2025-05-31	200.62	459.60	205.01	171.53	587.65	346.46
2025-06-30	204.94	496.59	219.39	176.23	617.85	317.66
2025-07-31	207.33	532.62	234.11	191.90	632.08	308.27
